index, age, income, avbal, avtrans, children, sex_M, mstatus_married, mstatus_single, mstatus_widowed, occupation_construct, occupation_education, occupation_finance, occupation_government, occupation_legal, occupation_manuf, occupation_medicine, occupation_retired, education_professional, education_secondary, education_tertiary
1,0.5395212913999443,0.14141662148115103,0.4149606394630508,0.21390661781515097,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2,0.964375173949346,0.23283988510387327,0.23368597789250703,0.10105590944757832,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
3,0.1489006401335931,0.7165681889490273,0.376412786992098,0.39361882225009426,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
4,0.24575563595880884,0.14707872410921646,0.1883237712272567,0.24100314486781052,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,0.034511550236571154,0.14707872410921646,0.1883237712272567,0.24100314486781052,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
6,0.5892012246033955,0.10899263265028687,0.13692495869541452,0.05164256013246752,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
7,0.06985805733370443,1.0,0.7663368401837409,0.6893364884986809,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8,0.1924575563595881,0.15440627266275447,0.08520553285493583,0.012294023515455573,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
9,0.6214862232118008,0.15440627266275447,0.08520553285493583,0.012294023515455573,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
10,0.35443918730865576,0.015731279111059197,0.1310136588746589,0.019106462116391,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0.6693570832173672,0.10237685288612682,0.18383441141223522,0.2028989626261191,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
12,0.11633732257166712,0.18682457561367444,0.16427235862074654,0.11594120518254443,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
13,0.06623991093793485,0.2479989579332757,0.2345412045469078,0.13534547206999029,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0.40564987475647096,0.25786551033098537,0.2985429433616673,0.2400590666724333,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15,0.046340105761202344,0.07346467026806856,0.2486454828975296,0.2667045616029558,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
16,0.3054550514890064,0.351368255318753,0.18374468609546363,0.21046270952913482,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
